ORF	SD	ABS
YLR264W	1.042	0.83
YLR265C	0.363	0.284
YLR266C	0.394	0.363
YLR267W	1.251	0.961
YLR268W	0.471	0.348
YLR269C	0.468	0.368
YLR270W	1.165	1.255
YLR271W	0.765	0.647
YLR272C	0.729	0.435
YLR273C	0.842	0.576
YLR274W	0.464	0.304
YLR275W	0.458	0.367
YLR276C	1.27	1.103
YLR277C	0.446	0.36
YLR278C	0.485	0.358
YLR279W	0.593	0.446
YLR280C	0.636	0.498
YLR281C	0.572	0.479
YLR282C	0.58	0.441
YLR283W	0.609	0.506
YLR284C	1.163	0.708
YLR285W	1.001	0.63
YLR286C	0.922	0.57
YLR287C	0.699	0.53
YLR287C-A	0.836	0.627
YLR288C	0.46	0.314
YLR289W	0.46	0.361
YLR290C	0.574	0.572
YLR291C	0.702	0.58
YLR292C	0.552	0.392
YLR293C	1.022	0.716
YLR294C	0.678	0.467
YLR295C	0.501	0.386
YLR296W	0.85	0.604
YLR297W	1.159	0.906
YLR298C	0.541	0.375
YLR299W	1.005	0.912
YLR300W	0.951	0.658
YLR301W	0.89	0.585
YLR302C	0.672	0.505
YLR303W	1.294	0.989
YLR304C	1.222	0.94
YLR305C	0.56	0.535
YLR306W	0.372	0.287
YLR307W	0.712	0.601
YLR308W	0.897	0.539
YLR309C	0.574	0.403
YLR310C	0.544	0.416
YLR311C	1.325	0.87
YLR312C	2.225	1.613
YLR312W-A	0.385	0.291
YLR313C	0.445	0.356
YLR314C	0.905	0.513
YLR315W	0.417	0.344
YLR316C	0.441	0.336
YLR317W	0.507	0.509
YLR318W	0.541	0.383
YLR319C	0.458	0.331
YLR320W	0.705	0.418
YLR321C	0.684	0.423
YLR322W	0.466	0.379
YLR323C	0.586	0.447
YLR324W	0.511	0.406
YLR325C	1.246	1.0
YLR326W	0.745	0.527
YLR327C	2.305	1.986
YLR328W	0.662	0.443
YLR329W	0.616	0.456
YLR330W	0.379	0.27
YLR331C	0.597	0.39
YLR332W	0.552	0.427
YLR333C	1.181	0.814
YLR334C	0.6	0.401
YLR335W	0.594	0.517
YLR336C	0.751	0.643
YLR338W	0.798	0.604
YLR339C	1.259	1.054
YLR340W	1.266	1.051
YLR341W	0.495	0.475
YLR342W	0.817	0.631
YLR343W	0.567	0.531
YLR344W	1.156	0.867
YLR345W	1.275	1.041
YLR346C	1.17	0.814
YLR347C	0.5	0.406
YLR348C	0.897	0.587
YLR349W	0.759	0.524
YLR350W	0.783	0.615
YLR351C	0.457	0.334
YLR352W	0.509	0.416
YLR353W	0.526	0.412
YLR354C	0.929	0.639
YLR355C	0.965	0.806
YLR356W	1.1	1.01
YLR357W	0.379	0.331
YLR358C	0.482	0.351
YLR359W	1.003	0.784
YLR360W	0.379	0.347
YLR361C	0.356	0.281
YLR362W	0.509	0.464
YLR363C	0.463	0.337
YLR364W	0.539	0.376
YLR365W	0.503	0.474
YLR366W	0.567	0.464
YLR367W	1.185	0.936
YLR368W	0.376	0.291
YLR369W	0.492	0.396
YLR370C	0.503	0.496
YLR371W	0.404	0.333
YLR372W	1.322	1.078
YLR373C	0.303	0.232
YLR374C	0.452	0.339
YLR375W	0.437	0.34
YLR376C	0.41	0.328
YLR377C	1.684	1.01
YLR378C	0.702	0.562
YLR379W	0.514	0.438
YLR380W	0.475	0.396
YLR381W	0.432	0.301
YLR382C	0.413	0.361
YLR383W	0.444	0.389
YLR384C	0.701	0.586
YLR385C	0.651	0.655
YLR386W	0.349	0.254
YLR387C	0.536	0.407
YLR388W	1.175	0.918
YLR389C	0.561	0.42
YLR390W	0.434	0.335
YLR392C	0.603	0.499
YLR393W	0.499	0.42
YLR394W	0.408	0.31
YLR395C	0.737	0.58
YLR396C	0.329	0.232
YLR397C	0.704	0.7
YLR398C	0.458	0.337
YLR399C	0.401	0.352
YLR400W	0.741	0.73
YLR401C	0.996	0.883
YLR402W	0.444	0.384
YLR403W	0.339	0.267
YLR404W	0.355	0.272
YLR405W	0.632	0.565
YLR406C	0.667	0.569
YLR407W	0.527	0.4
YLR408C	0.539	0.401
YLR409C	1.264	1.097
YLR410W	0.514	0.371
YLR411W	0.36	0.264
YLR412W	0.543	0.383
YLR413W	1.815	1.664
YLR414C	0.687	0.456
YLR415C	0.456	0.477
YLR416C	0.654	0.481
YLR417W	0.399	0.308
YLR418C	0.379	0.262
YLR419W	0.514	0.449
YLR420W	0.712	0.622
YLR421C	0.482	0.37
YLR422W	0.358	0.26
YLR423C	0.671	0.553
YLR424W	0.381	0.274
YLR425W	0.516	0.387
YLR426W	0.437	0.292
YLR427W	0.41	0.313
YLR428C	0.552	0.396
YLR429W	0.521	0.39
YLR430W	0.495	0.405
YLR431C	0.548	0.385
YLR432W	1.181	0.96
YLR433C	0.455	0.481
YLR434C	0.57	0.534
YLR435W	0.991	0.914
YLR436C	0.495	0.398
YLR437C	0.363	0.26
YLR438W	1.07	0.791
YLR439W	0.527	0.359
YLR440C	0.539	0.535
YLR441C	1.241	0.911
YLR442C	0.405	0.318
YLR443W	0.455	0.333
YLR444C	0.337	0.276
YLR445W	0.53	0.528
YLR446W	0.539	0.403
YLR447C	0.558	0.455
YLR448W	1.275	1.064
YLR449W	1.468	1.367
YLR450W	0.451	0.35
YLR451W	0.387	0.338
YLR452C	0.877	0.746
YLR453C	0.387	0.316
YLR454W	0.481	0.367
YLR455W	0.422	0.315
YLR456W	0.426	0.341
YLR457C	0.524	0.386
YLR458W	0.456	0.335
YLR459W	0.429	0.323
YLR460C	0.982	0.743
YLR461W	0.463	0.355
YLR462W	0.611	0.455
YLR463C	0.547	0.427
YLR464W	0.536	0.41
YLR465C	0.509	0.433
YLR466W	0.485	0.369
YLR467W	0.496	0.373
YML001W	0.467	0.336
YML002W	0.559	0.512
YML003W	0.472	0.382
YML004C	0.891	0.917
YML005W	0.429	0.395
YML006C	0.537	0.383
YML007W	0.64	0.61
YML008C	1.041	0.643
YML009C	0.433	0.324
YML010C-B	0.433	0.342
YML010W	0.576	0.439
YML011C	0.364	0.281
YML012W	0.411	0.325
YML013C-A	0.502	0.389
YML013W	0.461	0.363
YML014W	0.465	0.433
YML015C	0.392	0.32
YML016C	0.364	0.282
YML017W	0.855	0.575
YML018C	0.856	0.742
YML019W	0.497	0.389
YML020W	0.415	0.265
YML021C	0.555	0.429
YML022W	1.077	0.938
YML023C	0.496	0.389
YML024W	1.141	0.92
YML025C	0.357	0.276
YML026C	1.212	0.972
YML027W	0.534	0.458
YML028W	1.011	0.818
YML029W	0.477	0.375
YML030W	0.542	0.43
YML031W	0.624	0.467
YML032C	0.642	0.391
YML032C-A	0.449	0.349
YML033W	0.493	0.327
YML034W	0.511	0.362
YML035C	0.393	0.306
YML035C-A	0.607	0.411
YML036W	0.405	0.303
YML037C	0.516	0.411
YML038C	0.562	0.411
YML039W	0.763	0.505
YML040W	0.905	0.631
YML041C	0.404	0.3
YML042W	1.533	1.018
YML043C	0.989	0.789
YML045W	0.913	0.642
YML046W	0.487	0.407
YML047C	0.591	0.496
YML048W	0.46	0.37
YML048W-A	0.637	0.476
YML049C	0.458	0.344
YML050W	0.446	0.355
YML051W	0.487	0.363
YML052W	0.73	0.537
YML053C	0.374	0.268
YML054C	1.57	1.119
YML055W	0.431	0.316
YML056C	1.421	1.169
YML057W	0.565	0.435
YML058C-A	0.478	0.37
YML058W	0.523	0.409
YML059C	0.799	0.553
YML060W	0.758	0.659
YML061C	0.697	0.487
YML062C	0.508	0.374
YML063W	1.328	0.995
YML064C	0.526	0.391
YML065W	0.598	0.461
YML066C	0.455	0.336
YML067C	0.323	0.242
YML068W	0.488	0.404
YML069W	0.475	0.335
YML070W	0.922	0.831
YML071C	0.579	0.447
YML072C	0.541	0.392
YML073C	1.256	1.036
YML074C	0.813	0.609
YML075C	0.545	0.424
YML076C	0.527	0.377
YML077W	0.462	0.329
YML078W	0.52	0.391
YML079W	0.354	0.328
YML080W	0.938	0.777
YML081W	0.593	0.434
YML082W	0.511	0.47
YML083C	0.705	0.571
YML084W	0.567	0.483
YML085C	0.768	0.511
YML086C	0.52	0.381
YML087C	0.821	0.563
YML088W	0.712	0.377
YML089C	0.887	0.733
YML090W	0.953	0.774
YML091C	0.953	0.793
YML092C	0.586	0.456
YML093W	1.306	1.198
YML094W	0.684	0.486
YML095C	0.4	0.283
YML095C-A	0.585	0.436
YML096W	0.409	0.321
YML097C	0.397	0.326
YML098W	0.644	0.471
YML099C	0.366	0.282
YML100W	2.167	2.109
YML100W-A	0.545	0.383
YML101C	0.449	0.369
YML102C-A	0.618	0.41
YML102W	0.475	0.361
YML103C	0.495	0.454
YML104C	0.636	0.381
YML105C	0.822	0.477
YML106W	0.857	0.749
YML107C	0.727	0.392
YML108W	0.643	0.51
YML109W	0.493	0.403
YML110C	0.508	0.531
YML111W	0.377	0.294
YML112W	0.349	0.278
YML113W	0.482	0.345
YML114C	0.301	0.237
YML115C	0.491	0.361
YML116W	1.14	0.854
YML117W	0.607	0.465
YML117W-A	0.536	0.429
YML118W	1.074	0.791
YML119W	0.536	0.413
YML120C	1.082	0.849
YML121W	0.451	0.417
YML122C	0.445	0.358
YML123C	1.16	0.884
YML124C	0.668	0.436
YML125C	0.718	0.522
YML126C	0.858	0.603
YML127W	0.401	0.31
YML128C	2.456	2.399
YML129C	0.582	0.487
YML130C	1.003	0.748
YML131W	1.392	1.265
YML132W	0.559	0.511
YML133C	0.538	0.402
YMR001C	0.833	0.669
YMR002W	0.48	0.412
YMR003W	0.615	0.452
YMR004W	0.423	0.368
YMR005W	0.39	0.279
YMR006C	0.853	0.836
YMR007W	0.722	0.573
YMR008C	0.703	0.533
YMR009W	0.599	0.519
YMR010W	0.705	0.446
YMR011W	1.543	1.231
YMR012W	0.894	0.624
YMR013C	0.5	0.346
YMR014W	1.041	0.933
YMR015C	0.919	0.598
YMR016C	0.648	0.477
YMR017W	0.949	0.619
YMR018W	0.672	0.444
YMR019W	0.594	0.383
YMR020W	0.567	0.5
YMR021C	0.409	0.31
YMR022W	0.579	0.421
YMR023C	0.672	0.454
YMR024W	0.482	0.423
YMR025W	0.498	0.387
YMR026C	0.526	0.335
YMR027W	0.423	0.413
YMR028W	0.467	0.347
YMR029C	0.512	0.427
YMR030W	0.778	0.594
YMR031C	0.771	0.606
YMR031W-A	0.674	0.478
YMR032W	0.734	0.552
YMR033W	0.654	0.479
YMR034C	0.659	0.456
YMR035W	0.672	0.423
YMR036C	0.514	0.332
YMR037C	0.567	0.395
YMR038C	0.599	0.42
YMR039C	0.482	0.383
YMR040W	1.177	0.902
YMR041C	0.865	0.78
YMR042W	0.509	0.389
YMR043W	0.362	0.282
YMR044W	0.359	0.28
YMR045C	0.872	0.552
YMR046C	0.895	0.624
YMR047C	0.412	0.305
YMR048W	0.601	0.353
YMR049C	1.394	1.22
YMR050C	0.894	0.587
YMR051C	0.929	0.637
YMR052C-A	0.593	0.482
YMR052W	0.536	0.429
YMR053C	0.862	0.718
YMR054W	0.465	0.309
YMR055C	0.37	0.309
YMR056C	0.963	0.642
YMR057C	0.571	0.482
YMR058W	1.043	0.862
YMR059W	0.375	0.299
YMR060C	0.365	0.288
YMR061W	0.332	0.304
YMR062C	0.702	0.508
YMR063W	0.724	0.422
YMR064W	0.713	0.361
YMR065W	0.437	0.348
YMR066W	0.353	0.272
YMR067C	0.511	0.418
YMR068W	0.69	0.516
YMR069W	0.451	0.34
YMR070W	0.578	0.293
YMR071C	0.385	0.353
YMR072W	0.474	0.36
YMR073C	0.318	0.281
YMR074C	0.526	0.329
YMR075C-A	0.466	0.319
YMR075W	0.354	0.275
YMR076C	0.725	0.59
YMR077C	0.577	0.424
YMR078C	0.485	0.408
YMR079W	0.738	0.614
YMR080C	0.556	0.5
YMR081C	1.702	1.101
YMR082C	0.667	0.521
YMR083W	0.486	0.379
YMR084W	0.845	0.612
YMR085W	0.82	0.596
YMR086C-A	0.48	0.348
YMR086W	0.488	0.414
YMR087W	0.472	0.371
YMR088C	0.527	0.388
YMR089C	0.5	0.39
YMR090W	1.588	1.788
YMR091C	0.562	0.41
YMR092C	0.7	0.584
YMR093W	1.204	1.092
YMR094W	0.555	0.42
YMR095C	0.602	0.429
YMR096W	1.296	0.807
YMR097C	0.636	0.532
YMR098C	0.444	0.387
YMR099C	0.535	0.381
YMR100W	0.443	0.349
YMR101C	0.635	0.471
YMR102C	0.407	0.311
YMR103C	0.81	0.581
YMR104C	0.943	0.726
YMR105C	2.276	2.041
YMR106C	0.423	0.325
YMR107W	2.037	1.361
YMR108W	0.652	0.537
YMR109W	0.491	0.388
YMR110C	1.12	1.056
YMR111C	0.491	0.374
YMR112C	0.413	0.325
YMR113W	0.435	0.322
YMR114C	1.132	0.8
YMR115W	0.394	0.288
YMR116C	1.448	1.222
YMR117C	1.179	0.92
YMR118C	1.391	0.768
YMR119W	0.429	0.357
YMR119W-A	0.448	0.339
YMR120C	1.295	0.96
YMR121C	0.996	0.794
YMR122C	0.585	0.48
YMR123W	0.722	0.611
YMR124W	0.428	0.31
YMR125W	0.731	0.531
YMR126C	0.371	0.308
YMR127C	0.489	0.378
YMR128W	0.898	0.881
YMR129W	0.628	0.572
YMR130W	0.681	0.465
YMR131C	1.559	1.262
YMR132C	0.507	0.49
YMR133W	0.876	0.713
YMR134W	0.386	0.304
YMR135C	0.871	0.602
YMR135W-A	0.682	0.423
YMR136W	1.142	0.831
YMR137C	0.479	0.353
YMR138W	0.514	0.401
YMR139W	0.73	0.685
YMR140W	0.604	0.517
YMR141C	0.64	0.536
YMR142C	1.277	0.999
YMR143W	1.318	1.052
YMR144W	0.537	0.445
YMR145C	0.89	0.673
YMR146C	0.833	0.654
YMR147W	0.505	0.388
YMR148W	0.579	0.487
YMR149W	0.522	0.391
YMR150C	0.376	0.273
YMR151W	0.446	0.316
YMR152W	0.669	0.589
YMR153C-A	0.478	0.348
YMR153W	0.371	0.276
YMR154C	0.429	0.327
YMR155W	0.622	0.508
YMR156C	0.546	0.406
YMR157C	0.446	0.386
YMR158W	0.482	0.355
YMR158W-A	0.642	0.483
YMR159C	0.699	0.556
YMR160W	0.607	0.493
YMR161W	0.404	0.317
YMR162C	0.714	0.508
YMR163C	0.369	0.294
YMR164C	0.35	0.274
YMR165C	0.556	0.388
YMR166C	0.518	0.393
YMR167W	0.437	0.288
YMR168C	0.363	0.277
YMR169C	1.28	1.062
YMR170C	2.014	1.737
YMR171C	0.519	0.35
YMR172C-A	0.444	0.349
YMR172W	0.68	0.398
YMR173W	1.361	1.588
YMR173W-A	1.287	1.478
YMR174C	1.135	1.107
YMR175W	2.179	1.48
YMR176W	0.672	0.46
YMR177W	0.657	0.486
YMR178W	0.383	0.309
YMR179W	0.53	0.425
YMR180C	0.433	0.341
YMR181C	1.088	0.998
YMR182C	0.66	0.484
YMR183C	0.52	0.368
YMR184W	0.75	0.561
YMR185W	0.829	0.622
YMR186W	1.123	0.817
YMR187C	0.338	0.255
YMR188C	0.597	0.473
YMR189W	0.921	0.671
YMR190C	0.415	0.308
YMR191W	1.102	0.762
YMR192W	0.481	0.361
YMR193C-A	0.73	0.562
YMR193W	0.52	0.495
YMR194W	1.045	0.859
YMR195W	1.03	0.915
YMR196W	1.345	1.227
YMR197C	0.795	0.757
YMR198W	0.461	0.366
YMR199W	0.686	0.556
YMR200W	0.364	0.372
YMR201C	0.543	0.426
YMR202W	0.919	0.677
YMR203W	0.6	0.406
YMR204C	0.444	0.34
YMR205C	0.661	0.443
YMR206W	1.501	1.041
YMR207C	0.554	0.4
YMR208W	0.552	0.357
YMR209C	0.389	0.335
YMR210W	0.527	0.347
YMR211W	0.399	0.333
YMR212C	0.755	0.571
YMR213W	0.421	0.313
YMR214W	0.799	0.6
YMR215W	1.039	0.818
YMR216C	0.403	0.322
YMR217W	1.539	1.364
YMR218C	0.515	0.346
YMR219W	0.656	0.44
YMR220W	0.522	0.364
YMR221C	0.5	0.405
YMR222C	0.398	0.317
YMR223W	0.452	0.371
YMR224C	0.334	0.261
YMR225C	0.437	0.344
YMR226C	0.576	0.523
YMR227C	0.424	0.368
YMR228W	0.383	0.253
YMR229C	1.598	1.464
YMR230W	1.01	0.846
YMR231W	0.49	0.311
YMR232W	0.612	0.393
YMR233W	0.382	0.303
YMR234W	0.436	0.373
YMR235C	0.899	0.61
YMR236W	0.436	0.319
YMR237W	0.606	0.402
YMR238W	0.432	0.331
YMR239C	1.075	0.965
YMR240C	0.427	0.342
YMR241W	0.915	0.713
YMR242C	1.327	1.048
YMR243C	0.664	0.609
YMR244C-A	0.49	0.433
YMR244W	0.618	0.599
YMR245W	0.49	0.39
YMR246W	0.963	0.881
YMR247C	0.669	0.539
YMR250W	2.247	2.216
YMR251W	1.309	1.153
YMR251W-A	1.434	1.513
YMR252C	0.77	0.589
YMR253C	0.677	0.586
YMR254C	0.82	0.44
YMR255W	0.676	0.503
YMR256C	0.979	0.717
YMR257C	0.476	0.337
YMR258C	0.52	0.448
YMR259C	0.724	0.654
YMR260C	0.931	0.718
YMR261C	0.72	0.51
YMR262W	0.697	0.541
YMR263W	0.435	0.321
YMR264W	0.467	0.41
YMR265C	0.441	0.334
YMR266W	0.523	0.463
YMR267W	0.501	0.41
YMR268C	0.394	0.335
YMR269W	0.818	0.754
YMR270C	0.401	0.346
YMR271C	1.249	0.976
YMR272C	0.783	0.571
YMR273C	0.42	0.314
YMR274C	0.487	0.435
YMR275C	0.461	0.354
YMR276W	0.629	0.446
YMR277W	0.464	0.455
YMR278W	0.644	0.515
YMR279C	0.731	0.541
YMR280C	0.851	0.536
YMR281W	0.367	0.301
YMR282C	0.389	0.304
YMR283C	0.335	0.243
YMR284W	0.464	0.425
YMR285C	0.329	0.279
YMR286W	0.385	0.33
YMR287C	0.429	0.325
YMR288W	0.439	0.354
YMR289W	0.401	0.293
YMR290C	1.492	1.359
YMR290W-A	0.825	0.6
YMR291W	0.966	0.882
YMR292W	0.557	0.495
YMR293C	0.388	0.311
YMR294W	0.459	0.334
YMR294W-A	0.554	0.404
YMR295C	0.946	0.565
YMR296C	0.555	0.416
YMR297W	0.845	0.848
YMR298W	0.419	0.341
YMR299C	0.39	0.307
YMR300C	1.006	0.72
YMR301C	0.611	0.502
YMR302C	0.733	0.731
YMR303C	0.652	0.52
YMR304C-A	0.869	0.795
YMR304W	0.602	0.594
YMR305C	1.343	1.042
YMR306C-A	0.637	0.452
YMR306W	0.39	0.308
YMR307W	1.321	0.89
YMR308C	0.874	0.748
YMR309C	1.065	0.932
YMR310C	0.926	0.824
YMR311C	0.728	0.657
YMR312W	0.418	0.37
YMR313C	0.412	0.29
YMR314W	0.456	0.379
YMR315W	1.242	1.175
YMR316C-A	0.732	0.511
YMR316C-B	0.631	0.468
YMR316W	0.78	0.598
YMR317W	0.441	0.357
YMR318C	1.405	0.959
YMR319C	0.656	0.517
YMR320W	0.589	0.445
YMR321C	1.009	0.827
YMR322C	1.239	0.838
YMR323W	0.727	0.551
YMR324C	0.664	0.461
YMR325W	0.505	0.366
YMR326C	0.516	0.457
YNL001W	0.599	0.476
YNL002C	1.348	1.15
YNL003C	0.372	0.294
YNL004W	0.569	0.323
YNL005C	0.387	0.346
YNL006W	0.676	0.491
YNL007C	0.978	0.805
YNL008C	0.351	0.263
YNL009W	1.287	0.788
YNL010W	0.811	0.625
YNL011C	0.538	0.461
YNL012W	0.693	0.531
YNL013C	0.765	0.598
YNL014W	0.813	0.622
YNL015W	1.464	1.457
YNL016W	0.57	0.444
YNL017C	0.509	0.492
YNL018C	0.582	0.496
YNL019C	0.561	0.389
YNL020C	0.252	0.195
YNL021W	0.547	0.347
YNL022C	0.798	0.676
YNL023C	0.645	0.518
YNL024C	0.873	0.793
YNL025C	0.452	0.367
YNL026W	0.61	0.445
YNL027W	0.287	0.237
YNL028W	0.501	0.472
YNL029C	0.438	0.375
YNL030W	0.838	0.664
YNL031C	0.6	0.463
YNL032W	0.405	0.318
YNL033W	0.618	0.423
YNL034W	0.687	0.535
YNL035C	0.647	0.459
YNL036W	1.806	1.684
YNL037C	0.978	0.807
YNL038W	0.389	0.295
YNL039W	0.431	0.329
YNL040W	0.648	0.456
YNL041C	0.576	0.342
YNL042W	0.35	0.269
YNL043C	0.689	0.505
YNL044W	0.791	0.579
YNL045W	0.756	0.64
YNL046W	0.527	0.417
YNL047C	0.376	0.276
YNL048W	0.445	0.326
YNL049C	0.605	0.43
YNL050C	0.538	0.445
YNL051W	0.418	0.321
YNL052W	0.81	0.574
YNL053W	0.463	0.342
YNL054W	0.334	0.244
YNL055C	0.979	0.973
YNL056W	0.319	0.251
YNL057W	0.543	0.419
YNL058C	0.687	0.497
YNL059C	0.546	0.37
YNL061W	1.314	1.119
YNL062C	1.075	0.895
YNL063W	0.45	0.314
YNL064C	0.826	0.643
YNL065W	1.066	0.874
YNL066W	1.015	0.819
YNL067W	1.212	0.907
YNL068C	0.492	0.445
YNL069C	1.238	0.974
YNL070W	0.52	0.402
YNL071W	0.519	0.371
YNL072W	0.448	0.44
YNL073W	0.41	0.349
YNL074C	0.627	0.479
YNL075W	1.046	0.859
YNL076W	0.363	0.281
YNL077W	0.833	0.581
YNL078W	0.566	0.482
YNL079C	0.772	0.542
YNL080C	0.365	0.338
YNL081C	0.372	0.387
YNL082W	0.428	0.352
YNL083W	0.47	0.353
YNL084C	0.551	0.408
YNL085W	0.793	0.498
YNL086W	0.361	0.272
YNL087W	0.945	0.82
YNL088W	0.546	0.474
YNL089C	0.592	0.388
YNL090W	0.566	0.41
YNL091W	0.327	0.251
YNL092W	0.913	0.726
YNL093W	1.24	0.955
YNL094W	0.368	0.314
YNL095C	0.478	0.412
YNL096C	1.326	1.054
YNL097C	0.493	0.369
YNL098C	0.579	0.447
YNL099C	0.364	0.306
YNL100W	0.576	0.501
YNL101W	0.524	0.431
YNL102W	0.61	0.515
YNL103W	0.456	0.344
YNL104C	0.565	0.473
YNL105W	0.483	0.391
YNL106C	0.358	0.285
YNL107W	0.375	0.287
YNL108C	0.619	0.452
YNL109W	0.472	0.358
YNL110C	1.393	1.215
YNL111C	0.835	0.712
YNL112W	1.377	1.179
YNL113W	1.202	0.892
YNL114C	1.142	0.889
YNL115C	1.004	0.873
YNL116W	0.57	0.411
YNL117W	1.859	1.178
YNL118C	0.597	0.345
YNL119W	1.267	1.019
YNL120C	0.864	0.763
YNL121C	0.594	0.418
YNL122C	0.473	0.377
YNL123W	0.914	0.645
YNL124W	0.808	0.731
YNL125C	0.964	0.729
YNL126W	0.562	0.483
YNL127W	0.483	0.37
YNL128W	0.586	0.451
YNL129W	0.815	0.525
YNL130C	0.584	0.449
YNL131W	0.394	0.333
YNL132W	1.599	1.469
YNL133C	0.553	0.443
YNL134C	1.514	1.414
YNL135C	0.552	0.413
YNL136W	0.37	0.3
YNL137C	0.369	0.283
YNL138W	0.649	0.461
YNL139C	0.621	0.399
YNL140C	0.365	0.318
YNL141W	1.531	1.377
YNL142W	1.657	0.884
YNL143C	0.539	0.463
YNL144C	1.235	0.835
YNL145W	0.831	0.577
YNL146W	0.652	0.423
YNL147W	0.521	0.425
YNL148C	0.609	0.472
YNL149C	0.584	0.453
YNL150W	0.613	0.483
YNL151C	0.869	0.726
YNL152W	0.451	0.334
YNL153C	0.725	0.522
YNL154C	0.674	0.447
YNL155W	0.642	0.561
YNL156C	0.592	0.583
YNL157W	0.464	0.465
YNL158W	0.353	0.269
YNL159C	0.508	0.53
YNL160W	1.681	1.684
YNL161W	0.326	0.249
YNL162W	1.175	0.904
YNL163C	0.739	0.59
YNL164C	0.659	0.496
YNL165W	0.531	0.373
YNL166C	0.599	0.428
YNL167C	0.434	0.299
YNL168C	0.532	0.392
YNL169C	0.518	0.366
YNL170W	0.371	0.285
YNL171C	0.313	0.238
YNL172W	0.494	0.353
YNL173C	0.894	0.77
YNL174W	1.537	1.379
YNL175C	1.502	1.34
YNL176C	0.399	0.301
YNL177C	0.385	0.317
YNL178W	1.369	1.081
YNL179C	0.421	0.323
YNL180C	0.465	0.361
YNL181W	0.502	0.357
YNL182C	1.437	1.273
YNL183C	0.61	0.563
YNL184C	0.463	0.398
YNL185C	0.505	0.4
YNL186W	0.715	0.628
YNL187W	0.465	0.362
YNL188W	0.592	0.556
YNL189W	0.652	0.419
YNL190W	0.526	0.396
YNL191W	0.574	0.412
YNL192W	0.713	0.538
YNL193W	0.557	0.426
YNL194C	1.947	1.449
YNL195C	1.857	1.402
YNL196C	0.769	0.542
YNL197C	0.446	0.347
YNL198C	0.587	0.482
YNL199C	0.402	0.306
YNL200C	1.534	1.298
YNL201C	0.386	0.296
YNL202W	1.127	0.719
YNL203C	1.096	0.686
YNL204C	0.51	0.453
YNL205C	0.43	0.393
YNL206C	0.488	0.396
YNL207W	0.584	0.483
YNL208W	1.057	0.91
YNL209W	1.426	1.13
YNL210W	0.6	0.503
YNL211C	0.421	0.294
YNL212W	0.423	0.318
YNL213C	0.519	0.397
YNL214W	0.558	0.386
YNL215W	0.496	0.393
YNL216W	0.586	0.53
YNL217W	0.719	0.576
YNL218W	0.485	0.389
YNL219C	0.474	0.388
YNL220W	1.007	0.713
YNL221C	0.664	0.497
YNL222W	0.424	0.308
YNL223W	0.785	0.623
YNL224C	0.372	0.289
YNL225C	0.421	0.33
YNL226W	0.555	0.588
YNL227C	0.662	0.593
YNL228W	0.694	0.65
YNL229C	0.513	0.364
YNL230C	0.658	0.376
YNL231C	0.486	0.383
YNL232W	0.523	0.461
YNL233W	0.599	0.408
YNL234W	0.758	0.604
YNL235C	0.527	0.32
YNL236W	0.608	0.42
YNL237W	1.116	0.875
YNL238W	0.547	0.423
YNL239W	0.569	0.573
YNL240C	0.659	0.541
YNL241C	0.76	0.734
YNL242W	0.826	0.549
YNL243W	0.51	0.352
YNL244C	0.454	0.356
YNL245C	0.373	0.27
YNL246W	0.39	0.296
YNL247W	1.071	0.828
YNL248C	1.588	1.353
YNL249C	0.372	0.295
YNL250W	0.41	0.313
YNL251C	0.604	0.439
YNL252C	0.442	0.356
YNL253W	0.461	0.34
YNL254C	0.558	0.441
YNL255C	0.937	0.754
YNL256W	0.835	0.728
YNL257C	0.516	0.348
YNL258C	0.522	0.361
YNL259C	0.53	0.456
YNL260C	0.643	0.461
YNL261W	0.504	0.335
YNL262W	0.462	0.394
YNL263C	0.477	0.346
YNL264C	0.522	0.398
YNL265C	0.456	0.426
YNL266W	0.485	0.411
YNL267W	0.319	0.246
YNL268W	0.448	0.348
YNL269W	0.666	0.448
YNL270C	0.774	0.562
YNL271C	0.383	0.281
YNL272C	0.359	0.28
YNL273W	0.485	0.37
YNL274C	1.481	1.395
YNL275W	0.361	0.283
YNL276C	0.862	0.564
YNL277W	0.939	0.622
YNL278W	0.494	0.391
YNL279W	0.53	0.374
YNL280C	0.495	0.353
YNL281W	0.753	0.559
YNL282W	0.513	0.5
YNL283C	0.561	0.42
YNL284C	0.383	0.304
YNL285W	0.551	0.419
YNL286W	0.357	0.248
YNL287W	0.718	0.428
YNL288W	0.398	0.314
YNL289W	0.407	0.284
YNL290W	0.451	0.393
YNL291C	0.545	0.432
YNL292W	0.664	0.633
YNL293W	0.55	0.462
YNL294C	0.365	0.3
YNL295W	0.359	0.264
YNL296W	0.912	0.643
YNL297C	0.622	0.402
YNL298W	0.348	0.286
YNL299W	0.863	0.722
YNL300W	0.728	0.573
YNL301C	1.233	0.993
YNL302C	0.812	0.71
YNL303W	0.889	1.001
YNL304W	0.479	0.372
YNL305C	1.044	0.859
YNL306W	0.429	0.341
YNL307C	0.51	0.383
YNL308C	1.102	1.063
YNL309W	0.488	0.411
YNL310C	0.486	0.368
YNL311C	0.653	0.471
YNL312W	0.533	0.395
YNL313C	1.13	1.027
YNL314W	0.589	0.394
YNL315C	0.478	0.397
YNL316C	0.432	0.327
